,T,L,R,Mv,Type,Color,Spectral_Class
0,3068,0.0024,0.17,16.12,Brown Dwarf,red,M
1,3042,0.0005,0.1542,16.6,Brown Dwarf,red,M
2,2600,0.0003,0.102,18.7,Brown Dwarf,red,M
3,2800,0.0002,0.16,16.65,Brown Dwarf,red,M
4,1939,0.000138,0.103,20.06,Brown Dwarf,red,M
5,2840,0.00065,0.11,16.98,Brown Dwarf,red,M
6,2637,0.00073,0.127,17.22,Brown Dwarf,red,M
7,2600,0.0004,0.096,17.4,Brown Dwarf,red,M
8,2650,0.00069,0.11,17.45,Brown Dwarf,red,M
9,2700,0.00018,0.13,16.05,Brown Dwarf,red,M
10,3600,0.0029,0.51,10.69,Red Dwarf,red,M
11,3129,0.0122,0.3761,11.79,Red Dwarf,red,M
12,3134,0.0004,0.196,13.21,Red Dwarf,red,M
13,3628,0.0055,0.393,10.48,Red Dwarf,red,M
14,2650,0.0006,0.14,11.782,Red Dwarf,red,M
15,3340,0.0038,0.24,13.07,Red Dwarf,red,M
16,2799,0.0018,0.16,14.79,Red Dwarf,red,M
17,3692,0.00367,0.47,10.8,Red Dwarf,red,M
18,3192,0.00362,0.1967,13.53,Red Dwarf,red,M
19,3441,0.039,0.351,11.18,Red Dwarf,red,M
20,25000,0.056,0.0084,10.58,White Dwarf,blue white,B
21,7740,0.00049,0.01234,14.02,White Dwarf,white,A
22,7220,0.00017,0.011,14.23,White Dwarf,white,F
23,8500,0.0005,0.01,14.5,White Dwarf,white,A
24,16500,0.013,0.014,11.89,White Dwarf,blue white,B
25,12990,8.5e-05,0.00984,12.23,White Dwarf,yellowish white,F
26,8570,0.00081,0.0097,14.2,White Dwarf,blue white,A
27,7700,0.00011,0.0128,14.47,White Dwarf,yellowish white,F
28,11790,0.00015,0.011,12.59,White Dwarf,yellowish white,F
29,7230,8e-05,0.013,14.08,White Dwarf,pale yellow orange,F
30,39000,204000.0,10.6,-4.7,Main Sequence,blue,O
31,30000,28840.0,6.3,-4.2,Main Sequence,blue-white,B
32,15276,1136.0,7.2,-1.97,Main Sequence,blue-white,B
33,9700,74.0,2.89,0.16,Main Sequence,whitish,B
34,5800,0.81,0.9,5.05,Main Sequence,yellow-white,F
35,8052,8.7,1.8,2.42,Main Sequence,whitish,A
36,6757,1.43,1.12,2.41,Main Sequence,yellow-white,F
37,6380,1.35,0.98,2.93,Main Sequence,yellow-white,F
38,5936,1.357,1.106,4.46,Main Sequence,yellow-white,F
39,5587,0.819,0.99,5.03,Main Sequence,yellow-white,F
40,3826,200000.0,19.0,-6.93,Supergiant,red,M
41,3365,340000.0,23.0,-6.2,Supergiant,red,M
42,3270,150000.0,88.0,-6.02,Supergiant,red,M
43,3200,195000.0,17.0,-7.22,Supergiant,red,M
44,3008,280000.0,25.0,-6.0,Supergiant,red,M
45,3600,320000.0,29.0,-6.6,Supergiant,red,M
46,3575,123000.0,45.0,-6.78,Supergiant,red,M
47,3574,200000.0,89.0,-5.24,Supergiant,red,M
48,3625,184000.0,84.0,-6.74,Supergiant,red,M
49,33750,220000.0,26.0,-6.1,Supergiant,blue,B
50,3490,270000.0,1520.0,-9.4,Hypergiant,red,M
51,3750,283000.0,1260.0,-7.63,Hypergiant,red,M
52,3834,272000.0,1183.0,-9.2,Hypergiant,red,M
53,3749,550000.0,1648.0,-8.05,Hypergiant,orange,M
54,3650,310000.0,1324.0,-7.79,Hypergiant,red,M
55,3450,263000.0,1349.0,-11.75,Hypergiant,red,M
56,3660,363000.0,1673.0,-11.92,Hypergiant,red,M
